Relationships,Translate,new,query
助教-学生,Teach Assistant-Student,助教和学生,助教和学生之间
学长学姐-学弟学妹,Senior student-Junior student,学长学姐和学弟学妹,学长学姐和学弟学妹之间
学生会主席-学生会成员,President of student union-Member of student union,学生会主席和学生会成员,学生会主席和学生会成员之间
社团社长-社团社员,Club president-Club member,社团社长和社团社员,社团社长和社团社员之间
老师-家长,Teacher-Parent,老师和家长,老师和家长之间
考官-考生,Examer-Examinee,考官和考生,考官和考生之间
家长-班主任,Parent-Head teacher,家长和班主任,家长和班主任之间
家教-学生,Private Teacher-Student,家教和学生,家教和学生之间
辅导员-大学生,Graduate advisor-College student,辅导员和大学生,辅导员和大学生之间
班主任-学生,Head teacher-Student,班主任和学生,班主任和学生之间
班委-班级成员,Class leader-Class member,班委和班级成员,班委和班级成员之间
债主-欠债人,Creditor-Debtor,债主和欠债人,债主和欠债人之间
原配-第三者,Original partner-Mistress,原配和第三者,原配和第三者之间
义父义母-义子义女,Adoptive father-Adoptive child,义父义母和义子义女,义父义母和义子义女之间
网友之间,Between net friends,网友之间,网友之间之间
外地人-本地人,Local-Visitor,外地人和本地人,外地人和本地人之间
师父-徒弟,Master-Apprentice,师父和徒弟,师父和徒弟之间
球友之间,Between sport mates,球友之间,球友之间
青梅竹马之间,Between childhood sweetheart,青梅竹马之间,青梅竹马之间
乞丐-路人,Beggar-Passerby,乞丐和路人,乞丐和路人之间
旅伴之间,Between travel mates,旅伴之间,旅伴之间
老乡之间,Between fellow townsman,老乡之间,老乡之间
老朋友之间,Between old friends,老朋友之间,老朋友之间
干爹干妈-干儿女,God Parent-God Child,干爹干妈和干儿女,干爹干妈和干儿女之间
搭讪的人-被搭讪的人,Accosting people-Accosted people,搭讪的人和被搭讪的人,搭讪的人和被搭讪的人之间
报案人-受害者,Reporter-Victim,报案人和受害者,报案人和受害者之间
暧昧对象之间,Between people who are flirting,暧昧对象之间,暧昧对象之间
子女-父母,Parent-Son/Daughter,子女和父母,子女和父母之间
亲家之间,Between family in law,亲家之间,亲家之间
婆婆-儿媳,Mother in law-Wife,婆婆和儿媳,婆婆和儿媳之间
罪犯-旁观者,Criminal-Passerby,罪犯和旁观者,罪犯和旁观者之间
罪犯-被害人亲属,Criminal-Victim's family,罪犯和被害人亲属,罪犯和被害人亲属之间
主人-佣人,master-servant,主人和佣人,主人和佣人之间
主力-替补,Leading player-Replacement,主力和替补,主力和替补之间
主管-助理,Supervisor-Assistant,主管和助理,主管和助理之间
主持人-观众,Television host-Audience,主持人和观众,主持人和观众之间
主播-打赏者,Network anchor-Follwer,主播和打赏者,主播和打赏者之间
忠臣-反贼,Loyal minister-Betrayer,忠臣和反贼,忠臣和反贼之间
中介-客户,Agency-Client,中介和客户,中介和客户之间
政府官员-老百姓,Government-Civilian,政府官员和老百姓,政府官员和老百姓之间
明星-经纪人,Star-Agent,明星和经纪人,明星和经纪人之间
演员-观众,Actor-Audience,演员和观众,演员和观众之间
演员-编剧,Actor-Play Writer,演员和编剧,演员和编剧之间
小偷-失主,Thief-Owner,小偷和失主,小偷和失主之间
嫌疑人-警察,Suspect-Police officer,嫌疑人和警察,嫌疑人和警察之间
物业-业主,Property-Proprietor,物业和业主,物业和业主之间
外卖配送员-顾客,Delivery guy-Customer,外卖配送员和顾客,外卖配送员和顾客之间
图书管理员-读者,Librarian-Reader,图书管理员和读者,图书管理员和读者之间
同一球队的球员之间,Between players of the same sports team,同一球队的球员之间,同一球队的球员之间
售票员-乘客,Conductor-Passenger,售票员和乘客,售票员和乘客之间
受害者-旁观者,Victim-Passerby,受害者和旁观者,受害者和旁观者之间
首领-反贼,Leader-Betrayer,首领和反贼,首领和反贼之间
收银员-顾客,Cashier-Customer,收银员和顾客,收银员和顾客之间
收件人-快递员,Receiver-Courier,收件人和快递员,收件人和快递员之间
施害者-受害者,Persecutor-Victim,施害者和受害者,施害者和受害者之间
胜者-败者,Winner-Loser,胜者和败者,胜者和败者之间
赛事解说员-观众,Sports Events Commentator-Audience,赛事解说员和观众,赛事解说员和观众之间
人事工作人员-员工,Human resource officer-Employee,人事工作人员和员工,人事工作人员和员工之间
前同事之间,Between former colleagues,前同事之间,前同事之间
评委-选手,Judge-Competitor,评委和选手,评委和选手之间
评委-观众,Judge-Audience,评委和观众,评委和观众之间
律师-检察官,Lawyer-Prosecutor,律师和检察官,律师和检察官之间
老员工-新员工,Old empolyee-New empolyee,老员工和新员工,老员工和新员工之间
